odhf_index,facility_name,source_facility_type,odhf_facility_type,provider,address,postal_code,city,province,csd_name,csd_uid,latitude,longitude,source_url
1000,Kimbelee Place,,Nursing and residential care facilities,Province of British Columbia,12935 96th ave surrey bc v3v 7k6,V3V 7K6,surrey,BC,Surrey,5915004.0,49.177417999999996,-122.86411799999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1001,Kimberley Special Care Home,,Nursing and residential care facilities,Province of British Columbia,386 2 ave kimberley bc v1a 2z6,V1A 2Z6,kimberley,BC,Kimberley,5901028.0,49.6899979,-115.9896466,https://www.statcan.gc.ca/en/lode/databases/odhf
1002,Kinetic Energy Health and Wellness Centre,,Ambulatory health care services,Province of British Columbia,207-450 lansdowne street kamloops bc v2c 1y4,V2C 1Y4,kamloops,BC,Kamloops,5933042.0,50.67706,-120.3295,https://www.statcan.gc.ca/en/lode/databases/odhf
1003,King Edward House,,Nursing and residential care facilities,Province of British Columbia,820 e king edward ave vancouver bc v5v 2e4,V5V 2E4,vancouver,BC,Vancouver,5915022.0,49.2483529,-123.08704479999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1004,Kingfisher Place,,Nursing and residential care facilities,Province of British Columbia,4328 crystal drive vernon bc v1t 8v5,V1T 8V5,vernon,BC,Vernon,5937014.0,50.2761527,-119.2445371,https://www.statcan.gc.ca/en/lode/databases/odhf
1005,Kinghaven Treatment Centre,,Nursing and residential care facilities,Province of British Columbia,31250 king rd abbotsford bc v2t 6c2,V2T 6C2,abbotsford,BC,Abbotsford,5909052.0,49.0307485,-122.358792,https://www.statcan.gc.ca/en/lode/databases/odhf
1006,Kings House,,Nursing and residential care facilities,Province of British Columbia,8512 164th st surrey bc v4n 1e5,V4N 1E5,surrey,BC,Surrey,5915004.0,49.157599,-122.76725400000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1007,Kinsmen Lodge,,Nursing and residential care facilities,Province of British Columbia,9650 137a st surrey bc v3t 4h9,V3T 4H9,surrey,BC,Surrey,5915004.0,49.1777346,-122.84179950000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1009,Kinvillage,,Nursing and residential care facilities,Province of British Columbia,5410 10th ave delta bc v4m 3x8,V4M 3X8,delta,BC,Delta,5915011.0,49.0214852,-123.07364799999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1012,Kitimat Hospital & Health Centre,general,Hospitals,Public Health Agency of Canada,920 lahakas blvd. s. kitimat bc v8c 2s3,V8C 2S3,kitimat,BC,Kitimat,5949005.0,54.0504835,-128.6472372,https://www.statcan.gc.ca/en/lode/databases/odhf
1013,Kiwanis Care Centre,,Nursing and residential care facilities,Province of British Columbia,35 clute st new westminster bc v3l 1z5,V3L 1Z5,new westminster,BC,New Westminster,5915029.0,49.223211799999994,-122.91508780000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1015,Kiwanis Care Centre North Vancouver,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,V7H 3A5,north vancouver,BC,North Vancouver,,,,https://www.statcan.gc.ca/en/lode/databases/odhf
1017,Kiwanis Village Lodge,,Nursing and residential care facilities,Province of British Columbia,1221 kiwanis cres nanaimo bc v9s 5y1,V9S 5Y1,nanaimo,BC,Nanaimo,5921007.0,49.186109,-123.96893,https://www.statcan.gc.ca/en/lode/databases/odhf
1018,Knutsford Group Home,,Nursing and residential care facilities,Province of British Columbia,3161 merritt princeton highway 5a knutsford bc v0e 2a0,V0E 2A0,knutsford,BC,Thompson-Nicola L (Grasslands),5933060.0,50.603466999999995,-120.3104439,https://www.statcan.gc.ca/en/lode/databases/odhf
1019,Kootenay Boundary Regional Hospital,general,Hospitals,Public Health Agency of Canada,1200 hospital bench trail bc v1r 4m1,V1R 4M1,trail,BC,Trail,5905014.0,49.103275,-117.701449,https://www.statcan.gc.ca/en/lode/databases/odhf
1021,Kootenay Columbia House,,Nursing and residential care facilities,Province of British Columbia,114 10 ave castlegar bc v1n 1y4,V1N 1Y4,castlegar,BC,Castlegar,5903045.0,49.3279645,-117.6630835,https://www.statcan.gc.ca/en/lode/databases/odhf
1022,Kootenay Lake Hospital,general,Hospitals,Public Health Agency of Canada,3 view st. nelson bc v1l 2v1,V1L 2V1,nelson,BC,Nelson,5903015.0,49.495024900000004,-117.2848169,https://www.statcan.gc.ca/en/lode/databases/odhf
1023,Kootenay Lake Medical Clinic,,Ambulatory health care services,Province of British Columbia,1140 lakeside drive nelson bc v1l 5z3,V1L 5Z3,nelson,BC,Nelson,5903015.0,49.49869,-117.2889,https://www.statcan.gc.ca/en/lode/databases/odhf
1024,Kootenay Street Village,,Nursing and residential care facilities,Province of British Columbia,620 kootenay st n cranbrook bc v1c 3t9,V1C 3T9,cranbrook,BC,Cranbrook,5901022.0,49.518325899999994,-115.75853799999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1025,Kopernik Lodge,,Nursing and residential care facilities,Province of British Columbia,3150 rosemont dr vancouver bc v5s 2c9,V5S 2C9,vancouver,BC,Vancouver,5915022.0,49.21522,-123.039,https://www.statcan.gc.ca/en/lode/databases/odhf
1026,Kwantlen Medical Clinic,,Ambulatory health care services,Province of British Columbia,12818 72nd avenue surrey bc v3w 2m9,V3W 2M9,surrey,BC,Surrey,5915004.0,49.13365,-122.86741699999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1027,LA ROSA DE MATSQUI,,Nursing and residential care facilities,Province of British Columbia,28711 huntingdon rd abbotsford bc v4x 1a8,V4X 1A8,abbotsford,BC,Abbotsford,5909052.0,49.017373,-122.428874,https://www.statcan.gc.ca/en/lode/databases/odhf
1028,Ladner 1,,Nursing and residential care facilities,Province of British Columbia,5281 westminster ave delta bc v4k 2j4,V4K 2J4,delta,BC,Delta,5915011.0,49.099275,-123.07606990000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1029,Lady Minto Gulf Islands Hospital,general,Hospitals,Public Health Agency of Canada,135 crofton rd. salt spring island bc v8k 1t1,V8K 1T1,salt spring island,BC,Saltspring Island,5917027.0,48.861445200000006,-123.5085986,https://www.statcan.gc.ca/en/lode/databases/odhf
1030,Ladysmith Community Health Centre,general,Hospitals,Public Health Agency of Canada,1111 4th ave. ladysmith bc v9g 1a1,V9G 1A1,ladysmith,BC,Ladysmith,5919021.0,48.9957415,-123.82763440000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1031,Lake Country Family Practice,,Ambulatory health care services,Province of British Columbia,9966 pollard road lake country bc v4v 1v7,V4V 1V7,lake country,BC,Lake Country,5935016.0,50.025931,-119.40555900000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1032,Lake Country Lodge,,Nursing and residential care facilities,Province of British Columbia,10163 konschuh road lake country bc v4v 2m2,V4V 2M2,lake country,BC,Lake Country,5935016.0,50.029143499999996,-119.3984578,https://www.statcan.gc.ca/en/lode/databases/odhf
1034,Lakes District Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,741 centre st. burns lake bc v0j 1e0,V0J 1E0,burns lake,BC,Burns Lake,5951022.0,54.23562679999999,-125.76126229999998,https://www.statcan.gc.ca/en/lode/databases/odhf
1035,Lakes Road Home,,Nursing and residential care facilities,Province of British Columbia,6284 lakes rd duncan bc v9l 4s6,V9L 4S6,duncan,BC,North Cowichan,5919008.0,48.798968,-123.69181999999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1036,Lakeshore Medical Centre,,Ambulatory health care services,Province of British Columbia,2280 baron road kelowna bc v1x 7w3,V1X 7W3,kelowna,BC,Kelowna,5935010.0,49.881024,-119.43176799999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1037,Lakeside House,,Nursing and residential care facilities,Province of British Columbia,3597 gladstone st vancouver bc v5n 4y8,V5N 4Y8,vancouver,BC,Vancouver,5915022.0,49.250461,-123.06048770000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1038,Lakeview Lodge,,Nursing and residential care facilities,Province of British Columbia,2337 butt road west kelowna bc v4t 3l3,V4T 3L3,west kelowna,BC,Tsinstikeptum  9,5935802.0,49.83701729999999,-119.62377690000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1039,Lamton Home,,Nursing and residential care facilities,Province of British Columbia,650 middleton way coldstream bc v1b 2v5,V1B 2V5,coldstream,BC,Coldstream,5937010.0,50.2318418,-119.2547159,https://www.statcan.gc.ca/en/lode/databases/odhf
1040,Lands End Home,,Nursing and residential care facilities,Province of British Columbia,1995 lands end rd north saanich bc v8l 5j2,V8L 5J2,north saanich,BC,North Saanich,5917005.0,48.68585,-123.41694,https://www.statcan.gc.ca/en/lode/databases/odhf
1041,Langley Gardens,,Nursing and residential care facilities,Province of British Columbia,8888 202nd st langley bc v1m 4a7,V1M 4A7,langley,BC,Langley,5915001.0,49.1663494,-122.66096909999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1042,Langley Lodge,,Nursing and residential care facilities,Province of British Columbia,5451 204th st langley bc v3a 5m9,V3A 5M9,langley,BC,Langley,5915002.0,49.10156729999999,-122.6573035,https://www.statcan.gc.ca/en/lode/databases/odhf
1043,Langley Memorial Hospital,extended care,Hospitals,Public Health Agency of Canada,22051 fraser hwy. langley bc v3a 4h4,V3A 4H4,langley,BC,Langley,5915001.0,49.0952999,-122.61207900000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1045,Langton Road,,Nursing and residential care facilities,Province of British Columbia,7611 langton rd richmond bc v7c 4b4,V7C 4B4,richmond,BC,Richmond,5915015.0,49.1570209,-123.16069440000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1046,Lannan Road Residence,,Nursing and residential care facilities,Province of British Columbia,2046 lannan rd comox bc v9m 3z6,V9M 3Z6,comox,BC,Comox Valley B (Lazo North),5926022.0,49.7086633,-124.9362404,https://www.statcan.gc.ca/en/lode/databases/odhf
1047,Lansdowne Treatment Centre,,Ambulatory health care services,Province of British Columbia,120-1641 hillside avenue victoria bc v8t 5g1,V8T 5G1,victoria,BC,Victoria,5917034.0,48.445104,-123.334011,https://www.statcan.gc.ca/en/lode/databases/odhf
1048,Larkin House,,Nursing and residential care facilities,Province of British Columbia,2583 larkin ave port coquitlam bc v3b 2h8,V3B 2H8,port coquitlam,BC,Port Coquitlam,5915039.0,49.277786,-122.7851203,https://www.statcan.gc.ca/en/lode/databases/odhf
1049,Larkspur House,,Nursing and residential care facilities,Province of British Columbia,1310 larkspur ave port coquitlam bc v3b 1g7,V3B 1G7,port coquitlam,BC,Port Coquitlam,5915039.0,49.2660077,-122.75101969999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1050,Last Door Recovery Centre,,Nursing and residential care facilities,Province of British Columbia,323 8th st new westminster bc v3m 3r3,V3M 3R3,new westminster,BC,New Westminster,5915029.0,49.207823499999996,-122.9191564,https://www.statcan.gc.ca/en/lode/databases/odhf
1052,Laurel Place Care Centre,,Nursing and residential care facilities,Province of British Columbia,9688 137a st surrey bc v3t 4h9,V3T 4H9,surrey,BC,Surrey,5915004.0,49.178418799999996,-122.8417804,https://www.statcan.gc.ca/en/lode/databases/odhf
1054,Leaside Place,,Nursing and residential care facilities,Province of British Columbia,1807 e 64th ave vancouver bc v5p 2m9,V5P 2M9,vancouver,BC,Vancouver,5915022.0,49.2121813,-123.06893500000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1055,Leonard Place,,Nursing and residential care facilities,Province of British Columbia,4761 leonard pl prince george bc v2m 6z5,V2M 6Z5,prince george,BC,Prince George,5953023.0,53.938607999999995,-122.81031000000002,https://www.statcan.gc.ca/en/lode/databases/odhf
1056,Lillooet District Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,951 murray st. lillooet bc v0k 1v0,V0K 1V0,lillooet,BC,Lillooet,5931026.0,50.690014,-121.93879059999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1058,Lindsay Home,,Nursing and residential care facilities,Province of British Columbia,754 lindsay st victoria bc v8z 3e1,V8Z 3E1,victoria,BC,Saanich,5917021.0,48.4911471,-123.39525479999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1059,Lions Gate Hospital,general,Hospitals,Public Health Agency of Canada,231 east 15th st. north vancouver bc v7l 2l7,V7L 2L7,north vancouver,BC,North Vancouver,5915051.0,49.32186420000001,-123.06837009999998,https://www.statcan.gc.ca/en/lode/databases/odhf
1060,Lisgar Residence,,Nursing and residential care facilities,Province of British Columbia,2471 lisgar cres prince george bc v2n 1c4,V2N 1C4,prince george,BC,Prince George,5953023.0,53.897987,-122.79234,https://www.statcan.gc.ca/en/lode/databases/odhf
1061,"Little Mountain Manor, Inc.",,Nursing and residential care facilities,Province of British Columbia,959 little mountain rd parksville bc v9p 2c3,V9P 2C3,parksville,BC,Nanaimo F,5921032.0,49.298621000000004,-124.33023,https://www.statcan.gc.ca/en/lode/databases/odhf
1062,Little Mountain Place,,Nursing and residential care facilities,Province of British Columbia,330 e 36th ave vancouver bc v5w 3z4,V5W 3Z4,vancouver,BC,Vancouver,5915022.0,49.2376636,-123.09985320000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1063,Little Mountain Residential Care and Housing Society — Adanac Park Lodge,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,V5K 4T2,vancouver,BC,Vancouver,,,,https://www.statcan.gc.ca/en/lode/databases/odhf
1065,Live Well Medical Centre,,Ambulatory health care services,Province of British Columbia,160-8980 no. 3 road richmond bc v6y 2e8,V6Y 2E8,richmond,BC,Richmond,5915015.0,49.148846,-123.136661,https://www.statcan.gc.ca/en/lode/databases/odhf
1066,Lonsdale Medical Clinics,,Ambulatory health care services,Province of British Columbia,108-1940 lonsdale avenue north vancouver bc v7m 2k2,V7M 2K2,vancouver,BC,North Vancouver,5915051.0,49.327193,-123.071945,https://www.statcan.gc.ca/en/lode/databases/odhf
1067,Loraine Avenue,,Nursing and residential care facilities,Province of British Columbia,3908 loraine ave north vancouver bc v7r 4b8,V7R 4B8,north vancouver,BC,North Vancouver,5915046.0,49.34458729999999,-123.1065884,https://www.statcan.gc.ca/en/lode/databases/odhf
1068,Louis Brier Home,,Nursing and residential care facilities,Province of British Columbia,1055 w 41st ave vancouver bc v6m 1w9,V6M 1W9,vancouver,BC,Vancouver,5915022.0,49.23448,-123.12899999999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1071,Loyal Medical Clinic,,Ambulatory health care services,Province of British Columbia,112-1055 west georgia street vancouver bc v6e 3p1,V6E 3P1,vancouver,BC,Vancouver,5915022.0,49.285409,-123.12195,https://www.statcan.gc.ca/en/lode/databases/odhf
1072,Lucas Home,,Nursing and residential care facilities,Province of British Columbia,909 lucas ave victoria bc v8x 4m7,V8X 4M7,victoria,BC,Saanich,5917021.0,48.477996999999995,-123.37393600000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1073,Luther Court,,Nursing and residential care facilities,Province of British Columbia,1525 cedar hill x rd victoria bc v8p 5m1,V8P 5M1,victoria,BC,Saanich,5917021.0,48.4619202,-123.3364271,https://www.statcan.gc.ca/en/lode/databases/odhf
1074,Luxton Home,,Nursing and residential care facilities,Province of British Columbia,3522 luxton rd victoria bc v9c 0k6,V9C 0K6,victoria,BC,Langford,5917044.0,48.419041,-123.53415179999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1075,Lynn Valley Care Centre,,Nursing and residential care facilities,Province of British Columbia,1070 lynn valley road north vancouver bc v7j 1z8,V7J 1Z8,north vancouver,BC,North Vancouver,5915046.0,49.33396,-123.045,https://www.statcan.gc.ca/en/lode/databases/odhf
1076,Lynn Valley House,,Nursing and residential care facilities,Province of British Columbia,1525/1527 lynn valley road north vancouver bc v7j 2b1,V7J 2B1,north vancouver,BC,North Vancouver,5915046.0,49.340396000000005,-123.0310686,https://www.statcan.gc.ca/en/lode/databases/odhf
1078,Lynn Valley Medical and Travel Clinic,,Ambulatory health care services,Province of British Columbia,102-1200 lynn valley road north vancouver bc v7j 2a2,V7J 2A2,north vancouver,BC,North Vancouver,5915046.0,49.33592,-123.0412,https://www.statcan.gc.ca/en/lode/databases/odhf
1079,Lynndale Lodge,,Nursing and residential care facilities,Province of British Columbia,4820 10 ave sw salmon arm bc v1e 3b5,V1E 3B5,salmon arm,BC,Salmon Arm,5939032.0,50.6919774,-119.34095400000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1080,m.s.a. Manor,,Nursing and residential care facilities,Province of British Columbia,2510 gladwin rd abbotsford bc v2t 3n9,V2T 3N9,abbotsford,BC,Abbotsford,5909052.0,49.047544200000004,-122.3144389,https://www.statcan.gc.ca/en/lode/databases/odhf
1081,Mackenzie and District Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,45 centennial dr. mackenzie bc v0j 2c0,V0J 2C0,mackenzie,BC,Mackenzie,5953033.0,55.3375782,-123.10064799999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1082,Maginnis Avenue,,Nursing and residential care facilities,Province of British Columbia,3660 maginnis avenue north vancouver bc v7k 2l6,V7K 2L6,vancouver,BC,North Vancouver,5915046.0,49.342687100000006,-123.03414199999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1083,Magnolia Gardens,,Nursing and residential care facilities,Province of British Columbia,5840 glover rd langley bc v3a 9k3,V3A 9K3,langley,BC,Langley,5915002.0,49.10824470000001,-122.64946929999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1084,Magnolia House,,Nursing and residential care facilities,Province of British Columbia,720 e 17th st north vancouver bc v7l 2w8,V7L 2W8,north vancouver,BC,North Vancouver,5915051.0,49.3242484,-123.05383859999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1085,Main Street Home,,Nursing and residential care facilities,Province of British Columbia,5760 main street oliver bc v0h 1t0,V0H 1T0,oliver,BC,Oliver,5907014.0,49.173072999999995,-119.55524059999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1086,Mainwaring,,Nursing and residential care facilities,Province of British Columbia,8950 mainwaring rd north saanich bc v8l 1j7,V8L 1J7,north saanich,BC,North Saanich,5917005.0,48.624970899999994,-123.41547879999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1087,Malaspina Residence,,Nursing and residential care facilities,Province of British Columbia,2028 cedar cres courtenay bc v9n 3b6,V9N 3B6,courtenay,BC,Courtenay,5926010.0,49.678687700000005,-124.9927014,https://www.statcan.gc.ca/en/lode/databases/odhf
1088,Manchenda Medical Clinic,,Ambulatory health care services,Province of British Columbia,7550 king george boulevard surrey bc v3w 2t2,V3W 2T2,surrey,BC,Surrey,5915004.0,49.13988,-122.8432,https://www.statcan.gc.ca/en/lode/databases/odhf
1089,Mango Medical Clinic,,Ambulatory health care services,Province of British Columbia,4392 beresford street burnaby bc v5h 0e7,V5H 0E7,burnaby,BC,Burnaby,5915025.0,49.226057,-123.005725,https://www.statcan.gc.ca/en/lode/databases/odhf
1090,Manning House,,Nursing and residential care facilities,Province of British Columbia,1560 manning ave port coquitlam bc v3b 1k5,V3B 1K5,port coquitlam,BC,Port Coquitlam,5915039.0,49.2680766,-122.7578008,https://www.statcan.gc.ca/en/lode/databases/odhf
1091,Manoah Manor,,Nursing and residential care facilities,Province of British Columbia,20265 54a ave langley city bc v3a 3w6,V3A 3W6,langley city,BC,Langley,5915002.0,49.101831,-122.6608587,https://www.statcan.gc.ca/en/lode/databases/odhf
1092,Manuel House,,Nursing and residential care facilities,Province of British Columbia,1709 232nd st langley bc v2z 1k7,V2Z 1K7,langley,BC,Langley,5915001.0,49.032664000000004,-122.58322,https://www.statcan.gc.ca/en/lode/databases/odhf
1093,Maple Medical Clinic,,Ambulatory health care services,Province of British Columbia,103-2025 west broadway vancouver bc v6j 1z6,V6J 1Z6,vancouver,BC,Vancouver,5915022.0,49.263853999999995,-123.151159,https://www.statcan.gc.ca/en/lode/databases/odhf
1094,Maple Ridge House,,Nursing and residential care facilities,Province of British Columbia,12210 232a st maple ridge bc v2x 0r2,V2X 0R2,maple ridge,BC,Maple Ridge,5915075.0,49.224536900000004,-122.57835520000002,https://www.statcan.gc.ca/en/lode/databases/odhf
1095,Maple Ridge Seniors Village,,Nursing and residential care facilities,Province of British Columbia,22141 119th ave maple ridge bc v2x 2y7,V2X 2Y7,maple ridge,BC,Maple Ridge,5915075.0,49.2193789,-122.6084592,https://www.statcan.gc.ca/en/lode/databases/odhf
1096,Maple Ridge Treatment Centre,,Nursing and residential care facilities,Province of British Columbia,22269 callaghan ave maple ridge bc v2x 2e2,V2X 2E2,maple ridge,BC,Maple Ridge,5915075.0,49.2137785,-122.6051618,https://www.statcan.gc.ca/en/lode/databases/odhf
1097,Maple Street Residence,,Nursing and residential care facilities,Province of British Columbia,5537 maple st port alberni bc v9y 8h4,V9Y 8H4,port alberni,BC,Alberni-Clayoquot E,5923037.0,49.2711362,-124.8084067,https://www.statcan.gc.ca/en/lode/databases/odhf
1098,Maplewood House,,Nursing and residential care facilities,Province of British Columbia,1919 jackson st abbotsford bc v2s 2z8,V2S 2Z8,abbotsford,BC,Abbotsford,5909052.0,49.036607200000006,-122.30914840000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1101,Marchmont House,,Nursing and residential care facilities,Province of British Columbia,739 marchmont rd duncan bc v9l 2l9,V9L 2L9,duncan,BC,Duncan,5919012.0,48.7770977,-123.69351529999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1102,Marchmont Place,,Nursing and residential care facilities,Province of British Columbia,6124 ryall rd duncan bc v9l 2h7,V9L 2H7,duncan,BC,North Cowichan,5919008.0,48.793073,-123.72443,https://www.statcan.gc.ca/en/lode/databases/odhf
1103,Marin Park,,Nursing and residential care facilities,Province of British Columbia,1166 marin park dr brentwood bay bc v8m 1e8,V8M 1E8,brentwood bay,BC,Central Saanich,5917015.0,48.5714564,-123.45134070000002,https://www.statcan.gc.ca/en/lode/databases/odhf
1104,Marine Gateway Medical Clinic,,Ambulatory health care services,Province of British Columbia,301-470 sw marine drive vancouver bc v5x 0c4,V5X 0C4,vancouver,BC,Vancouver,5915022.0,49.210378999999996,-123.11683000000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1105,Mariposa,,Nursing and residential care facilities,Province of British Columbia,4133 mariposa heights victoria bc v8z 6p5,V8Z 6P5,victoria,BC,Saanich,5917021.0,48.478199,-123.41418,https://www.statcan.gc.ca/en/lode/databases/odhf
1106,Mariposa Court,,Nursing and residential care facilities,Province of British Columbia,3419 mariposa court kelowna bc v1x 2s9,V1X 2S9,kelowna,BC,Kelowna,5935010.0,49.8590963,-119.4391121,https://www.statcan.gc.ca/en/lode/databases/odhf
1107,Mariposa Gardens,,Nursing and residential care facilities,Province of British Columbia,8816 97 st osoyoos bc v0h 1v5,V0H 1V5,osoyoos,BC,Osoyoos,5907005.0,49.034727000000004,-119.47705829999998,https://www.statcan.gc.ca/en/lode/databases/odhf
1108,Marjorie Willoughby Snowden Memorial Hospice Home,,Nursing and residential care facilities,Province of British Columbia,72 whiteshield crescent s kamloops bc v2e 2s9,V2E 2S9,kamloops,BC,Kamloops,5933042.0,50.6588194,-120.3374527,https://www.statcan.gc.ca/en/lode/databases/odhf
1109,Mary Basil House,,Nursing and residential care facilities,Province of British Columbia,2001 industrial rd cranbrook bc v1c 6h3,V1C 6H3,cranbrook,BC,Cranbrook,5901022.0,49.524978600000004,-115.7686075,https://www.statcan.gc.ca/en/lode/databases/odhf
1110,Maryland House,,Nursing and residential care facilities,Province of British Columbia,9496 maryland dr sidney bc v8l 2r6,V8L 2R6,sidney,BC,Sidney,5917010.0,48.6401829,-123.4063757,https://www.statcan.gc.ca/en/lode/databases/odhf
1111,Masset Hospital,general,Hospitals,Public Health Agency of Canada,1760 hodges masset bc v0t 1m0,V0T 1M0,masset,BC,Masset,5947023.0,54.0204495,-132.157076,https://www.statcan.gc.ca/en/lode/databases/odhf
1113,Matters of Health Medical Clinic,,Ambulatory health care services,Province of British Columbia,5591 west boulevard vancouver bc v6m 3w6,V6M 3W6,vancouver,BC,Vancouver,5915022.0,49.235586,-123.155556,https://www.statcan.gc.ca/en/lode/databases/odhf
1114,Maxey Road Home,,Nursing and residential care facilities,Province of British Columbia,2278 maxey rd nanaimo bc v9s 5v5,V9S 5V5,nanaimo,BC,Nanaimo C,5921016.0,49.185127,-124.00326000000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1115,May's Place,,Nursing and residential care facilities,Province of British Columbia,333 powell st vancouver bc v6a 1g5,V6A 1G5,vancouver,BC,Vancouver,5915022.0,49.28324,-123.09700000000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1116,Mayfair (the),,Nursing and residential care facilities,Province of British Columbia,33433 marshall rd abbotsford bc v2s 1k8,V2S 1K8,abbotsford,BC,Abbotsford,5909052.0,49.039494,-122.29768929999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1117,Mcarthur Home,,Nursing and residential care facilities,Province of British Columbia,794-796 mcarthur drive kamloops bc v2b 8l9,V2B 8L9,kamloops,BC,Kamloops,5933042.0,50.7625069,-120.34820570000001,https://www.statcan.gc.ca/en/lode/databases/odhf
1118,Mcbride and District Hospital,general,Hospitals,Public Health Agency of Canada,594 king st. mcbride bc v0j 2e0,V0J 2E0,mcbride,BC,McBride,5953012.0,53.30163979999999,-120.16082809999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1119,Mcbride Place,,Nursing and residential care facilities,Province of British Columbia,878 mcbride street kamloops bc v2b 5s3,V2B 5S3,kamloops,BC,Kamloops,5933042.0,50.70294570000001,-120.4107315,https://www.statcan.gc.ca/en/lode/databases/odhf
1120,Mccauley Lodge,,Nursing and residential care facilities,Province of British Columbia,1037 lyall st victoria bc v9a 5g1,V9A 5G1,victoria,BC,Esquimalt,5917040.0,48.426921,-123.4064,https://www.statcan.gc.ca/en/lode/databases/odhf
1121,Mcculloch Residence,,Nursing and residential care facilities,Province of British Columbia,5500 mcculloch rd kelowna bc v1w 4g1,V1W 4G1,kelowna,BC,Kelowna,5935010.0,49.83961179999999,-119.3486466,https://www.statcan.gc.ca/en/lode/databases/odhf
1122,Mckenzie Home,,Nursing and residential care facilities,Province of British Columbia,1112 mckenzie st victoria bc v8v 2w2,V8V 2W2,victoria,BC,Victoria,5917034.0,48.415158899999994,-123.3554095,https://www.statcan.gc.ca/en/lode/databases/odhf
1123,Mckim Cottage,psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,916 eleventh st. nelson bc v1l 7a6,V1L 7A6,nelson,BC,Nelson,5903015.0,49.508589,-117.267255,https://www.statcan.gc.ca/en/lode/databases/odhf
1124,Mckinney Place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,V0H 1T0,oliver,BC,Oliver,,,,https://www.statcan.gc.ca/en/lode/databases/odhf
1125,Mcqueen House,,Nursing and residential care facilities,Province of British Columbia,2831 muir rd courtenay bc v9n 6a2,V9N 6A2,courtenay,BC,Courtenay,5926010.0,49.7107401,-124.9852203,https://www.statcan.gc.ca/en/lode/databases/odhf
1126,Md Medical Centre,,Ambulatory health care services,Province of British Columbia,3020 louie drive west kelowna bc v4t 3e1,V4T 3E1,west kelowna,BC,Tsinstikeptum  9,5935802.0,49.83547,-119.6209,https://www.statcan.gc.ca/en/lode/databases/odhf
1127,Meadowbrook,,Nursing and residential care facilities,Province of British Columbia,12412 meadowbrook pl maple ridge bc v4r 2h6,V4R 2H6,maple ridge,BC,Maple Ridge,5915075.0,49.2279307,-122.63521499999999,https://www.statcan.gc.ca/en/lode/databases/odhf
1128,Medi-Kel,,Ambulatory health care services,Province of British Columbia,1715 ellis street kelowna bc v1y 8m9,V1Y 8M9,kelowna,BC,Kelowna,5935010.0,49.883419,-119.49343200000001,https://www.statcan.gc.ca/en/lode/databases/odhf
