odhf_index,facility_name,source_facility_type,odhf_facility_type,provider,address,postal_code,city,province,csd_name,csd_uid,latitude,longitude,source_url
715,Dr. Peter Aids Foundation (Residence),,Nursing and residential care facilities,Province of British Columbia,1110 comox st vancouver bc v6e 1k5,V6E 1K5,vancouver,BC,Vancouver,5915022.0,49.281727000000004,-123.13,https://www.statcan.gc.ca/en/lode/databases/odhf
716,Dufferin Group Home,,Nursing and residential care facilities,Province of British Columbia,1423 mt dufferin dr kamloops bc v2e 1a1,V2E 1A1,kamloops,BC,Kamloops,5933042.0,50.6590596,-120.38434450000001,https://www.statcan.gc.ca/en/lode/databases/odhf
717,Dufferin Place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,V9S 2B7,nanaimo,BC,Nanaimo,,,,https://www.statcan.gc.ca/en/lode/databases/odhf
718,Duke House,,Nursing and residential care facilities,Province of British Columbia,2707 duke st vancouver bc v5r 4s8,V5R 4S8,vancouver,BC,Vancouver,5915022.0,49.2393317,-123.0497683,https://www.statcan.gc.ca/en/lode/databases/odhf
719,Dunrovin Park Lodge,,Nursing and residential care facilities,Province of British Columbia,900 st laurent ave quesnel bc v2j 3s3,V2J 3S3,quesnel,BC,Quesnel,5941013.0,52.979626,-122.48601000000001,https://www.statcan.gc.ca/en/lode/databases/odhf
720,Dustin House,,Nursing and residential care facilities,Province of British Columbia,4967 dustin crt victoria bc v8y 3b5,V8Y 3B5,victoria,BC,Saanich,5917021.0,48.514907,-123.38556000000001,https://www.statcan.gc.ca/en/lode/databases/odhf
721,Duthie Avenue,,Nursing and residential care facilities,Province of British Columbia,1055 duthie ave burnaby bc v5a 2r3,V5A 2R3,burnaby,BC,Burnaby,5915025.0,49.2748071,-122.9538731,https://www.statcan.gc.ca/en/lode/databases/odhf
722,Dwelling Place,,Nursing and residential care facilities,Province of British Columbia,2630 labieux rd nanaimo bc v9t 3n1,V9T 3N1,nanaimo,BC,Nanaimo,5921007.0,49.199663,-124.01516000000001,https://www.statcan.gc.ca/en/lode/databases/odhf
723,Eagle Crescent,,Nursing and residential care facilities,Province of British Columbia,128 eagle crescent williams lake bc v2g 5k2,V2G 5K2,williams lake,BC,Williams Lake,5941009.0,52.1190375,-122.1625031,https://www.statcan.gc.ca/en/lode/databases/odhf
724,Eagle Park Health Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,V9K 2L1,qualicum beach,BC,Qualicum Beach,,,,https://www.statcan.gc.ca/en/lode/databases/odhf
725,Eagle Ridge Hospital,extended care,Hospitals,Public Health Agency of Canada,475 guildford way port moody bc v3h 3w9,V3H 3W9,port moody,BC,Port Moody,5915043.0,49.285505,-122.82358,https://www.statcan.gc.ca/en/lode/databases/odhf
726,Eagle Ridge Manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,V3H 3W9,port moody,BC,Port Moody,,,,https://www.statcan.gc.ca/en/lode/databases/odhf
727,Eagle Rock Heights,,Nursing and residential care facilities,Province of British Columbia,972 greenridge cres victoria bc v8x 3b9,V8X 3B9,victoria,BC,Saanich,5917021.0,48.466336,-123.36825,https://www.statcan.gc.ca/en/lode/databases/odhf
728,East 36th House,,Nursing and residential care facilities,Province of British Columbia,325 e 36th ave vancouver bc v5w 1c5,V5W 1C5,vancouver,BC,Vancouver,5915022.0,49.2383527,-123.09868429999999,https://www.statcan.gc.ca/en/lode/databases/odhf
729,East 45th Group Home,,Nursing and residential care facilities,Province of British Columbia,2639 e 45th ave vancouver bc v5r 3b9,V5R 3B9,vancouver,BC,Vancouver,5915022.0,49.229687299999995,-123.05252279999999,https://www.statcan.gc.ca/en/lode/databases/odhf
730,East 61st Community House,,Nursing and residential care facilities,Province of British Columbia,648 e 61st ave vancouver bc v5x 2b9,V5X 2B9,vancouver,BC,Vancouver,5915022.0,49.2146808,-123.0920388,https://www.statcan.gc.ca/en/lode/databases/odhf
731,East Keith Road House,,Nursing and residential care facilities,Province of British Columbia,317 keith road e north vancouver bc v7l 1v6,V7L 1V6,north vancouver,BC,North Vancouver,5915051.0,49.313665,-123.06703700000001,https://www.statcan.gc.ca/en/lode/databases/odhf
732,East Kootenay Regional Hospital,general,Hospitals,Public Health Agency of Canada,13 - 24th ave. n. cranbrook bc v1c 3h9,V1C 3H9,cranbrook,BC,Cranbrook,5901022.0,49.512421999999994,-115.74999299999999,https://www.statcan.gc.ca/en/lode/databases/odhf
733,Eastlawn,,Nursing and residential care facilities,Province of British Columbia,1190 eastlawn dr burnaby bc v5b 3h1,V5B 3H1,burnaby,BC,Burnaby,5915025.0,49.2739211,-122.9903615,https://www.statcan.gc.ca/en/lode/databases/odhf
734,Eden Care Centre,,Nursing and residential care facilities,Province of British Columbia,9100 charles st chilliwack bc v2p 5k6,V2P 5K6,chilliwack,BC,Chilliwack,5909020.0,49.167238299999994,-121.9419001,https://www.statcan.gc.ca/en/lode/databases/odhf
735,Eden Gardens,,Nursing and residential care facilities,Province of British Columbia,1917 northfield rd nanaimo bc v9s 3b6,V9S 3B6,nanaimo,BC,Nanaimo,5921007.0,49.191744,-123.98388999999999,https://www.statcan.gc.ca/en/lode/databases/odhf
736,Edgemont House,,Nursing and residential care facilities,Province of British Columbia,2490 edgemont blvd north vancouver bc v7r 2m8,V7R 2M8,north vancouver,BC,North Vancouver,5915046.0,49.3328531,-123.0948838,https://www.statcan.gc.ca/en/lode/databases/odhf
