canonical_name,place_type,place_status,verification_status,source_datasets,aliases,notes
Arrow Lakes Hospital In-Patient Care Fund,hospital,physical_place,needs_review,bc_msp_blue_book,Arrow Lakes Hospital In-Patient Care Fund,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2023/2024 to 2023/2024, total payments $32,850.00."
Greater Victoria Hospitals,hospital,physical_place,rollup_no_single_location,bc_wait_times,Greater Victoria Hospitals,"Reporting roll-up rather than a single facility address; Island Health lists South Island surgical hospitals including Victoria General Hospital, Royal Jubilee Hospital, and Saanich Peninsula Hospital. Imported from bc_wait_times/facility_locations.csv."
North Island Hospital,hospital,physical_place,needs_review,bc_msp_blue_book,North Island Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $18,575,596.06."
St. Bartholomew's Hospital,hospital,physical_place,needs_review,bc_msp_blue_book,St. Bartholomew's Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2014/2015 to 2020/2021, total payments $260,223.93."
Tofino General Hospital Inpatient Care Network,hospital,physical_place,needs_review,bc_msp_blue_book,Tofino General Hospital Inpatient Care Network,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2021/2022 to 2023/2024, total payments $98,550.00."
Vancouver Hospital - UBC Pavillions,hospital,physical_place,needs_review,bc_msp_blue_book,Vancouver Hospital - UBC Pavillions,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $29,849,232.58."
