canonical_name,place_type,source_datasets,aliases,notes
Mission Memorial Hospital,hospital,bc_msp_blue_book,Mission Memorial Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $21,107,077.19."
Mount St. Joseph Hospital,hospital,bc_msp_blue_book,Mount St. Joseph Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $27,894,616.10."
Nanaimo Regional Hospital,hospital,bc_msp_blue_book,Nanaimo Regional Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $92,430,688.39."
North Island Hospital,hospital,bc_msp_blue_book,North Island Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $18,575,596.06."
North Island Hospital-Campbell River & District,hospital,bc_msp_blue_book,North Island Hospital-Campbell River & District,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2017/2018 to 2020/2021, total payments $19,616,078.97."
Northern Haida Gwaii Hospital And Health Centre.,hospital,bc_msp_blue_book,Northern Haida Gwaii Hospital and Health Centre|Northern Haida Gwaii Hospital And Health Centre.,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $165,674.41. Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $702,762.66."
Port Hardy Hospital,hospital,bc_msp_blue_book,Port Hardy Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $3,499,222.95."
Port McNeill Hospital,hospital,bc_msp_blue_book,Port McNeill Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $2,130,252.86."
Powell River General Hospital,hospital,bc_msp_blue_book,Powell River General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $23,952,728.35."
Princeton General Hospital,hospital,bc_msp_blue_book,Princeton General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,968,793.61."
