canonical_name,place_type,place_status,health_authority,address,locality,province,postal_code,latitude,longitude,source_label,source_url,verification_status,source_datasets,aliases,notes
Delta Hospital,hospital,physical_place,Fraser Health,5800 Mountain View Blvd,Delta,BC,V4K 3V6,49.0861644,-123.0618248,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Delta/delta-hospital#.W1jzkNVKhEY,geocoded_needs_review,bc_msp_blue_book|bc_wait_times|statcan_odhf,Delta Hospital,"BC Geocoder matched 5800 Mountain View Blvd, Delta, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $27,299,435.97. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
Dr. Helmcken Memorial Hospital,hospital,physical_place,,640 Park Dr,Clearwater,BC,V0E 1N0,51.6452241,-120.0180615,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/dr-helmcken-memorial-hospital,verified,bc_msp_blue_book|manual_enrichment,Dr. Helmcken Memorial Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $1,463,871.12. BC Geocoder matched 640 Park Dr, Clearwater, BC score=99 precision=CIVIC_NUMBER."
Dr. Helmcken Memorial Hospital and Health Centre,hospital,physical_place,,640 park dr. clearwater bc v0e 1n0,clearwater,BC,V0E 1N0,51.6453419,-120.01818300000001,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Dr. Helmcken Memorial Hospital and Health Centre,Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general).
Eagle Ridge Hospital,hospital,physical_place,Fraser Health,475 Guildford Way,Port Moody,BC,V3H 3W9,49.2851675,-122.8241855,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Port-Moody/eagle-ridge-hospital#.W1jsv9VKhEY,geocoded_needs_review,bc_msp_blue_book|bc_wait_times|statcan_odhf,Eagle Ridge Hospital,"BC Geocoder matched 475 Guildford Way, Port Moody, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $16,739,133.93. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: extended care)."
Eagle Ridge Hospital - FBHS,hospital,physical_place,,475 Guildford Way,Port Moody,BC,V3H 3W9,49.2851675,-122.8241855,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Port-Moody/eagle-ridge-hospital#.W1jsv9VKhEY,verified,bc_msp_blue_book|manual_enrichment,Eagle Ridge Hospital - FBHS,"Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2014/2015 to 2020/2021, total payments $16,982,934.22. Payee suffix appears to be a program/account suffix; facility match is Eagle Ridge Hospital. BC Geocoder matched 475 Guildford Way, Port Moody, BC score=99 precision=CIVIC_NUMBER."
East Kootenay Regional Hospital,hospital,physical_place,Interior Health,13 24th Ave N,Cranbrook,BC,V1C 3H9,49.5124205,-115.7499698,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/east-kootenay-regional-hospital,geocoded_needs_review,bc_msp_blue_book|bc_wait_times|statcan_odhf,East Kootenay Regional Hospital,"BC Geocoder matched 13 24th Ave N, Cranbrook, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $76,387,408.51. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
East Kootenay Regional Hospital - OBGYN,hospital,physical_place,,13 24th Ave N,Cranbrook,BC,V1C 3H9,49.5124205,-115.7499698,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/east-kootenay-regional-hospital,verified,bc_msp_blue_book|manual_enrichment,East Kootenay Regional Hospital - OBGYN,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $64,176.86. Payee suffix appears to be department-specific; facility match is East Kootenay Regional Hospital. BC Geocoder matched 13 24th Ave N, Cranbrook, BC score=99 precision=CIVIC_NUMBER."
Elk Valley Hospital,hospital,physical_place,Interior Health,1501 5th Ave,Fernie,BC,V0B 1M0,49.5136825,-115.0562654,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/elk-valley-hospital,geocoded_needs_review,bc_msp_blue_book|bc_wait_times|statcan_odhf,Elk Valley Hospital,"BC Geocoder matched 1501 5th Ave, Fernie, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $3,113,797.81. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
Forensic Psychiatric Hospital (Forensic Psychiatric Services Commission),hospital,physical_place,,70 colony farm rd. port coquitlam bc v3c 5x9,port coquitlam,BC,V3C 5X9,49.263318,-123.11141699999999,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Forensic Psychiatric Hospital (Forensic Psychiatric Services Commission),Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: psychiatric).
Fort Nelson General Hospital,hospital,physical_place,,5315 Liard St,Fort Nelson,BC,V0C 1R0,58.8090391,-122.7047870,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/fort-nelson-general-hospital,verified,bc_msp_blue_book|manual_enrichment|statcan_odhf,Fort Nelson General Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $2,898,369.49. BC Geocoder matched 5315 Liard St, Fort Nelson, BC score=99 precision=CIVIC_NUMBER. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
