payee_name,first_fiscal_year,latest_fiscal_year,rows,total_amount
"First Nations Health Authority",2015/2016,2024/2025,7,6896207.52
"Fraser Health Authority",2014/2015,2024/2025,11,1002793021.82
"Interior Health Authority",2014/2015,2024/2025,11,749932337.03
"Nisga'a Valley Health Authority",2014/2015,2024/2025,11,14764278.2
"Northern Health Authority",2014/2015,2024/2025,11,507729676.08
"Vancouver Coastal Health Authority",2014/2015,2024/2025,11,1930682062.42
"Vancouver Island Health Authority",2014/2015,2024/2025,11,913381006.4
