canonical_name,place_type,source_datasets,aliases,notes
Continuing Medical Education Fund,organization,bc_msp_blue_book,Continuing Medical Education Fund,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $255,618,935.00."
Cormorant Island Health Centre,organization,bc_msp_blue_book,Cormorant Island Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 8 row(s), 2014/2015 to 2021/2022, total payments $303,808.42."
Cowichan Valley Division Of Family Practice,organization,bc_msp_blue_book,Cowichan Valley Division Of Family Practice|Cowichan Valley Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $438,000.00. Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $1,863,300.00."
Cowichan Valley Health-Care Society,organization,bc_msp_blue_book,Cowichan Valley Health-Care Society,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2014/2015 to 2018/2019, total payments $21,785,881.46."
Dr. Thomas C Woods Inc.,organization,bc_msp_blue_book,Dr. Thomas C Woods Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $42,228.59."
Drs Rebecca Lindley & Jeremy Coward Physicians Inc.,organization,bc_msp_blue_book,Drs Rebecca Lindley & Jeremy Coward Physicians Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $30,032.54."
East Kootenay Division Of Family Practice,organization,bc_msp_blue_book,East Kootenay Division of Family Practice|East Kootenay Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $343,100.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $2,896,770.00."
Elkford Health Care Centre Society,organization,bc_msp_blue_book,Elkford Health Care Centre Society,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $71,909.94."
"Elkford Health Care Centre Society, The",organization,bc_msp_blue_book,"Elkford Health Care Centre Society, The","Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $262,256.06."
Family Practice Services Committee,organization,bc_msp_blue_book,Family Practice Services Committee,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2022/2023 to 2024/2025, total payments $332,823,296.31."
