canonical_name,place_type,source_datasets,aliases,notes
SPH General Practice Society,organization,bc_msp_blue_book,Sph General Practice Society|SPH General Practice Society,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2019/2020 to 2024/2025, total payments $548,700.00. Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2021/2022 to 2023/2024, total payments $657,000.00."
Summerland Health Centre,organization,bc_msp_blue_book,Summerland Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $2,342,495.88."
Sun Peaks Family Practice,organization,bc_msp_blue_book,Sun Peaks Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2020/2021 to 2022/2023, total payments $291,240.46."
Sunshine Coast Division Of Family Practice,organization,bc_msp_blue_book,Sunshine Coast Division Of Family Practice|Sunshine Coast Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $113,150.00. Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2015/2016 to 2024/2025, total payments $1,075,855.00."
Sunshine Coast/Sea To Sky Division Of Family Practice,organization,bc_msp_blue_book,Sunshine Coast/Sea To Sky Division Of Family Practice|Sunshine Coast/Sea to Sky Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $292,000.00. Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2016/2017 to 2021/2022, total payments $876,800.00."
The Medical Centre,organization,bc_msp_blue_book,The Medical Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2014/2015 to 2021/2022, total payments $258,022.44."
Tumbler Ridge Health Centre,organization,bc_msp_blue_book,Tumbler Ridge Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $561,577.60."
UBC Family Practice Centre,organization,bc_msp_blue_book,UBC Family Practice Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2014/2015 to 2016/2017, total payments $6,254,672.23."
Valemount Diagnosis & Treatment Centre,organization,bc_msp_blue_book,Valemount Diagnosis & Treatment Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $575,359.73."
Vancouver City Centre UPCC - MI Services,organization,bc_msp_blue_book,Vancouver City Centre UPCC - MI Services,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2024/2025 to 2024/2025, total payments $202,859.17."
Vancouver Family Practice,organization,bc_msp_blue_book,Vancouver Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 8 row(s), 2017/2018 to 2024/2025, total payments $25,386,523.44."
Wallgate Holdings Inc,organization,bc_msp_blue_book,Wallgate Holdings Inc|Wallgate Holdings Inc.,"Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2016/2017 to 2024/2025, total payments $39,489,937.45. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $4,912,861.01."
Westside Medical Associates,organization,bc_msp_blue_book,Westside Medical Associates,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2017/2018 to 2018/2019, total payments $122,585.00."
Whistler Health Care Centre,organization,bc_msp_blue_book,Whistler Health Care Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $11,989,896.05."
White Rock/South Surrey Division Of Family Practice,organization,bc_msp_blue_book,White Rock/South Surrey Division Of Family Practice|White Rock/South Surrey Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $359,680.93. Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2015/2016 to 2015/2016, total payments $90,908.36."
